id,region,year,manufacturer,model,odometer,title_status,transmission,VIN,state,lat,long
7311793632,western massachusetts,2012.0,honda,accord se,97875.0,rebuilt,automatic,1HGCP2F64CA212562,ma,42.125984,-72.725007
7303247872,western massachusetts,2012.0,honda,accord sdn,92754.0,clean,automatic,1HGCP2F61CA209716,ma,,
7310760852,worcester / central MA,2012.0,honda,accord,158600.0,clean,automatic,1HGCP2F79CA007540,ma,42.27877,-71.68382
7307690954,worcester / central MA,2012.0,honda,accord sdn,59111.0,rebuilt,automatic,,ma,42.236556,-71.751747
7313235363,ann arbor,2012.0,honda,accord ex,114000.0,clean,automatic,,mi,42.378583,-83.552914
7311278734,battle creek,2012.0,honda,accord,90900.0,clean,automatic,,mi,42.3943,-85.2888
7309867206,battle creek,2012.0,honda,accord,85000.0,clean,automatic,,mi,41.9255,-85.0057
7313735843,flint,2012.0,honda,accord ex,114555.0,clean,automatic,,mi,42.377822,-83.555145
7312576530,flint,2012.0,honda,accord sdn,140438.0,clean,automatic,1HGCP2F80CA151132,mi,42.944251,-83.730441
7310003220,flint,2012.0,honda,accord sdn,140438.0,clean,automatic,1HGCP2F80CA151132,mi,42.944251,-83.730441
7306687435,flint,2012.0,honda,accord sdn,140438.0,clean,automatic,1HGCP2F80CA151132,mi,42.944251,-83.730441
7312249349,lansing,2012.0,honda,accord ex,114300.0,clean,automatic,,mi,42.376807,-83.560295
7311343597,northern michigan,2012.0,honda,accord,96573.0,clean,automatic,,mi,44.69335,-85.691069
7310004335,saginaw-midland-baycity,2012.0,honda,accord sdn,140438.0,clean,automatic,1HGCP2F80CA151132,mi,42.944251,-83.730441
7314871797,duluth / superior,2012.0,honda,accord,175645.0,salvage,manual,,mn,45.5851,-93.5961
7309534882,fargo / moorhead,2012.0,honda,accord,139585.0,clean,automatic,1HGCP2F61CA181738,mn,46.842209,-96.769064
7315752987,minneapolis / st paul,2012.0,honda,accord exl,110000.0,salvage,automatic,,mn,45.0192,-93.2401
7315519450,minneapolis / st paul,2012.0,honda,accord,161765.0,clean,automatic,1HGCP2F67CA019550,mn,44.630379,-93.136146
7315431174,minneapolis / st paul,2012.0,honda,accord,127321.0,clean,automatic,1HGCP2F37CA041375,mn,44.815233,-93.209661
7315101751,minneapolis / st paul,2012.0,honda,accord,127321.0,clean,automatic,1HGCP2F37CA041375,mn,44.815233,-93.209661
7306184711,jackson,2012.0,honda,accord,99160.0,clean,automatic,1HGCP2F89CA045780,ms,32.278352,-90.147605
7312341403,north mississippi,2012.0,honda,accord se,140000.0,clean,automatic,,ms,34.9441,-89.8544
7314878061,columbia / jeff city,2012.0,honda,accord,84713.0,clean,automatic,,mo,38.48057,-91.843571
7309060370,springfield,2012.0,honda,accord,,clean,automatic,1HGCP2F62CA125033,mo,37.24047,-93.300301
7303111130,springfield,2012.0,honda,accord,,clean,automatic,1HGCP2F62CA125033,mo,37.24047,-93.300301
7316580708,great falls,2012.0,honda,accord lx sedan 4d,93347.0,clean,automatic,,mt,48.872865,-111.907864
7313634040,kalispell,2012.0,honda,accord,148000.0,clean,automatic,,mt,48.2028,-114.3039
7316941440,charlotte,2012.0,honda,accord,,clean,automatic,1HGCS2B81CA002023,nc,35.140258,-80.87612
7315490084,charlotte,2012.0,honda,accord,58000.0,rebuilt,automatic,,nc,35.8334,-78.5799
7314689498,charlotte,2012.0,honda,accord se,109000.0,rebuilt,automatic,,nc,35.8334,-78.5799
7312524804,charlotte,2012.0,honda,accord,,clean,automatic,1HGCS2B81CA002023,nc,35.140258,-80.87612
7308938289,charlotte,2012.0,honda,accord,,clean,automatic,1HGCS2B81CA002023,nc,35.140258,-80.87612
7305810685,eastern NC,2012.0,honda,accord,86500.0,clean,automatic,,nc,35.7243,-77.9427
7314878924,fayetteville,2012.0,honda,accord,90712.0,clean,automatic,1HGCP3F82CA005479,nc,35.0019,-78.9364
7313552259,fayetteville,2012.0,honda,accord ex-l v6 auto,139056.0,clean,automatic,1HGCP3F85CA040369,nc,35.089292,-78.985646
7307116025,greensboro,2012.0,honda,accord sedan,,,,1HGCP2F60CA009779,nc,35.982957,-80.009461
7316547685,raleigh / durham / CH,2012.0,honda,accord,135000.0,clean,automatic,1HGCP2F39CA131613,nc,35.7956,-78.7941
7315025410,raleigh / durham / CH,2012.0,honda,accord,71581.0,rebuilt,automatic,,nc,35.9781,-78.8439
7311160927,raleigh / durham / CH,2012.0,honda,accord,44000.0,clean,automatic,1HGCP2F36CA226937,nc,35.602463,-78.569756
7310724292,raleigh / durham / CH,2012.0,honda,accord,133000.0,clean,automatic,,nc,35.754761,-78.775423
7310050785,raleigh / durham / CH,2012.0,honda,accord,123378.0,clean,automatic,1HGCP2F77CA007522,nc,35.710933,-78.660041
7310014620,raleigh / durham / CH,2012.0,honda,accord,123378.0,clean,automatic,1HGCP2F77CA007522,nc,35.710933,-78.660041
7310014271,raleigh / durham / CH,2012.0,honda,accord,123378.0,clean,automatic,1HGCP2F77CA007522,nc,35.710933,-78.660041
7315043949,wilmington,2012.0,honda,accord,185000.0,clean,automatic,1HGCP2F65CA083313,nc,34.255124,-77.844357
7314955383,winston-salem,2012.0,honda,accord lx-s,96000.0,clean,automatic,,nc,36.1165,-80.0831
7316826346,las vegas,2012.0,honda,accord ex-l automatic navi,118300.0,clean,automatic,,nv,36.195724,-115.092537
7315012056,las vegas,2012.0,honda,accord ex sedan,125897.0,clean,automatic,,nv,36.1205,-115.0523
7313689128,las vegas,2012.0,honda,accord ex-l v6,116492.0,clean,automatic,,nv,36.0395,-114.982
7312189541,las vegas,2012.0,honda,accord,123399.0,clean,automatic,1HGCP2F6XCA143506,nv,36.094039,-115.201838
7316506514,central NJ,2012.0,honda,accord,149720.0,clean,automatic,1HGCP2F38CA204180,nj,40.1481,-74.2137
7308873394,central NJ,2012.0,honda,accord se,198000.0,clean,automatic,,nj,40.588,-74.6874
7306116190,central NJ,2012.0,honda,accord se 4dr sedan,126310.0,clean,automatic,1HGCP2F66CA214376,nj,40.89333,-74.164125
7307716310,jersey shore,2012.0,honda,accord sdn,173909.0,clean,automatic,1HGCP2F63CA034546,nj,39.937155,-75.088194
7315245112,south jersey,2012.0,honda,accord sdn,173909.0,clean,automatic,1HGCP2F63CA034546,nj,39.937155,-75.088194
7310698459,south jersey,2012.0,honda,accord,180000.0,clean,automatic,,nj,39.715123,-75.105612
7309247267,south jersey,2012.0,honda,accord,74156.0,missing,automatic,,nj,39.9074,-75.0008
7307716539,south jersey,2012.0,honda,accord sdn,173909.0,clean,automatic,1HGCP2F63CA034546,nj,39.937155,-75.088194
7307697522,south jersey,2012.0,honda,accord sdn,173909.0,clean,automatic,1HGCP2F63CA034546,nj,39.937155,-75.088194
7315088664,albuquerque,2012.0,honda,accord se,112000.0,clean,automatic,,nm,35.093795,-106.730147
7315826097,roswell / carlsbad,2012.0,honda,accord,117600.0,clean,manual,,nm,33.332,-105.681
7312550444,santa fe / taos,2012.0,honda,accord lx,106000.0,clean,automatic,,nm,35.8663,-106.2676
7310982137,albany,2012.0,honda,accord,136000.0,clean,other,,ny,42.6683,-73.7744
7307870802,albany,2012.0,honda,accord se,112543.0,clean,automatic,,ny,42.7841,-73.9094
7302568502,albany,2012.0,honda,accord,143000.0,clean,automatic,,ny,43.3115,-73.6448
7308732599,buffalo,2012.0,honda,accord,118000.0,clean,automatic,,ny,42.9167,-78.8895
7305760238,glens falls,2012.0,honda,accord,148000.0,clean,automatic,,ny,43.0947,-73.503
7302574553,glens falls,2012.0,honda,accord,143000.0,clean,automatic,,ny,43.3115,-73.6448
7316681335,long island,2012.0,honda,accord sdn,106429.0,clean,automatic,1HGCP2F32CA149614,ny,40.786795,-73.218686
7316564601,long island,2012.0,honda,accord,107000.0,clean,automatic,,ny,40.7866,-73.1961
7314844848,new york city,2012.0,honda,accord,73189.0,clean,automatic,1HGCP2F75CA225099,ny,41.279773,-73.926529
7308180316,plattsburgh-adirondacks,2012.0,honda,accord sdn,71162.0,clean,automatic,1HGCP2F45CA232673,ny,42.905975,-73.218064
7310494527,rochester,2012.0,honda,accord,84599.0,clean,automatic,,ny,43.195438,-77.6055
7316494683,syracuse,2012.0,honda,accord se,107000.0,clean,automatic,,ny,43.1528,-76.2235
7316392709,watertown,2012.0,honda,accord ex,162000.0,clean,automatic,,ny,43.9743,-75.9122
